"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U101";"JLCC84";1;"NFC-SENS-JLCC84";;;
2;"S202,S201,S203";"TIMR-08";3;"DIL-Switch-SPDT";;;
3;"P101";"Pin_Header_Straight_1x19";1;"CONN_01X19";;;
4;"P107";"Pin_Header_Straight_1x06";1;"CONN_01X06";;;
5;"C101,C102,C103,C104,C107,C109,C116,C117,C201,C202,C203,C204,C205,C206,C207,C208,C209,C210,C211,C212,C213,C214,C215,C216,C217,C218,C219,C401,C402";"C_1210";29;"100n";;;
6;"C105";"C_1210";1;"4p";;;
7;"C106";"C_1210";1;"3p";;;
8;"C108";"C_1210";1;"45.86p";;;
9;"C110,C113,C114";"C_1210";3;"20p";;;
10;"C111,C112,C124,C125";"C_1210";4;"1u";;;
11;"C115,C118,C119,C120,C121,C122,C123";"C_1210";7;"9n";;;
12;"P103";"Pin_Header_Straight_2x21";1;"CONN_02X21";;;
13;"R101";"R_1210";1;"R";;;
14;"R201,R202,R203,R204,R205,R206,R207,R208,R209,R210,R211,R212,R213,R214,R215,R216,R217,R218,R219";"R_1210";19;"10k";;;
15;"R301,R303,R305,R307,R309,R311,R313,R315,R317,R319,R321,R323,R325,R327,R329,R331,R333,R335";"R_1210";18;"2k";;;
16;"R302,R304,R306,R308,R310,R312,R314,R316,R318,R320,R322,R324,R326,R328,R330,R332,R334,R336";"R_1210";18;"250";;;
17;"R401,R409";"R_1210";2;"200k";;;
18;"R402,R403,R405,R406,R407,R408,R410,R411,R404";"R_1210";9;"158";;;
19;"RV101";"PVZ2A-pot-smd";1;"4k7";;;
20;"P102";"Pin_Header_Straight_1x03";1;"CONN_01X03";;;
21;"P104";"Pin_Header_Straight_2x08";1;"CONN_02X08";;;
22;"P108";"Pin_Header_Straight_2x06";1;"CONN_02X06";;;
23;"U104";"NFC-ant-1010-double";1;"NFC_square_ant_1010";;;
24;"D301,D302,D303,D304,D305,D306,D307,D308,D309,D310,D311,D312,D313,D314,D315,D316,D317,D318";"LED-0805";18;"LED";;;
25;"J401";"VHDCI";1;"VHDCI";;;
26;"M401,M402";"LSF0108";2;"ALI_LSF0108_small";;;
27;"P105";"Pin_Header_Straight_2x04";1;"CONN_02X04";;;
28;"P109";"Pin_Header_Straight_2x11";1;"CONN_02X11";;;
29;"Q301,Q302,Q303,Q304,Q305,Q306,Q307,Q308,Q309,Q310,Q311,Q312,Q313,Q314,Q315,Q316,Q317,Q318";"SOT-23";18;"BC817-40";;;
30;"U103";"NFC-ant-square-2010-double";1;"NFC_square_ant_2010";;;
31;"U105";"Spiral-NFC-antenna";1;"NFC_spiral_antenna";;;
32;"P110";"Pin_Header_Straight_1x07";1;"CONN_01X07";;;
33;"P106,P111,P112,P113,P114,P115,P116";"MountingHole_3-5mm";7;"CONN_01X01";;;
34;"REF**";"Antenna-pins";1;"Antenna connections";;;
35;"U102";"NFC_ANT";1;"NFC_antenna";;;
